Opcode	Operand1	Operand2	Operand3	Operand4	OperandEncoding	Extra	ForcedPrefix	Support
1C	al,Write	imm8			I			V,V
1D	ax,Write	imm16			I	OperandSizeOverride		V,V
1D	eax,Write	imm32			I			V,V
1D	rax,Write	imm32,Signed			I	REX.W		V,NE
80/3	rm8,Write	imm8			MI			V,V
81/3	rm16,Write	imm16			MI	OperandSizeOverride		V,V
81/3	rm32,Write	imm32			MI			V,V
81/3	rm64,Write	imm32,Signed			MI	REX.W		V,NE
83/3	rm16,Write	imm8,Signed			MI	OperandSizeOverride		V,V
83/3	rm32,Write	imm8,Signed			MI			V,V
83/3	rm64,Write	imm8,Signed			MI	REX.W		V,NE
18	rm8,Write	r8			MR			V,V
19	rm16,Write	r16			MR			V,V
19	rm32,Write	r32			MR			V,V
19	rm64,Write	r64			MR	REX.W		V,NE
1A	r8,Write	rm8			RM			V,V
1B	r16,Write	rm16			RM			V,V
1B	r32,Write	rm32			RM			V,V
1B	r64,Write	rm64			RM	REX.W		V,NE
