Register	Id	Size
al	0	1
ax	0	2
eax	0	4
rax	0	8
cl	1	1
cx	1	2
ecx	1	4
rcx	1	8
dl	2	1
dx	2	2
edx	2	4
rdx	2	8
bl	3	1
bx	3	2
ebx	3	4
rbx	3	8
ah	4	1
sp	4	2
esp	4	4
rsp	4	8
ch	5	1
bp	5	2
ebp	5	4
rbp	5	8
dh	6	1
si	6	2
esi	6	4
rsi	6	8
bh	7	1
di	7	2
edi	7	4
rdi	7	8
r8l	8	1
r8w	8	2
r8d	8	4
r8	8	8
r9l	9	1
r9w	9	2
r9d	9	4
r9	9	8
r10l	10	1
r10w	10	2
r10d	10	4
r10	10	8
r11l	11	1
r11w	11	2
r11d	11	4
r11	11	8
r12l	12	1
r12w	12	2
r12d	12	4
r12	12	8
r13l	13	1
r13w	13	2
r13d	13	4
r13	13	8
r14l	14	1
r14w	14	2
r14d	14	4
r14	14	8
r15l	15	1
r15w	15	2
r15d	15	4
r15	15	8
